"Pcode","Locality","State","Comments","DeliveryOffice","PresortIndicator","ParcelZone","BSPnumber","BSPname","Category","Lat","Long"
"0200","AUSTRALIAN NATIONAL UNIVERSITY","ACT","PO Boxes","AUSTRALIAN NATIONAL UNI LPO x","150","N2 ","019","CANBERRA","Post Office Boxes                                 ","-35.277272","149.117136"
"0221","BARTON","ACT","LVR Special Mailing",,"150","N2 ","019","CANBERRA","LVR                                               ","-35.201372","149.095065"
"0800","DARWIN","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.801028","130.955789"
"0801","DARWIN","NT","GPO Boxes","DARWIN GPO DELIVERY ANNEXE    ","085","NT1","001","DARWIN","Post Office Boxes                                 ","-12.801028","130.955789"
"0804","PARAP","NT","PO Boxes","PARAP LPO                     ","085","NT1","001","DARWIN","Post Office Boxes                                 ","-12.432181","130.84331"
"0810","ALAWA","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","BRINKIN","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","CASUARINA","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","COCONUT GROVE","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","JINGILI","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","LEE POINT","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","LYONS","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","MILLNER","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","MOIL","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","MUIRHEAD","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","NAKARA","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","NIGHTCLIFF","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","RAPID CREEK","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","TIWI","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","WAGAMAN","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0810","WANGURI","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.378451","130.877014"
"0811","CASUARINA","NT","PO Boxes","CASUARINA DELIVERY ANNEXE     ","085","NT1","001","DARWIN","Post Office Boxes                                 ","-12.376597","130.850489"
"0812","ANULA","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","BUFFALO CREEK","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","HOLMES","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","KARAMA","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","LEANYER","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","MALAK","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","MARRARA","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","NORTHLAKES","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","SANDERSON","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
"0812","WOODLEIGH GARDENS","NT",,"DARWIN DELIVERY CENTRE        ","085","NT1","001","DARWIN","Delivery Area                                     ","-12.400091","130.913672"
